"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"RZ1";"RP2040-Zero";1;"RP2040-Zero";;;
2;",,";"";3;"";;;
3;"SW5";"SW_SPST_CK_RS282G05A3";1;"PLUS";;;
4;"SW9";"SW_SPST_CK_RS282G05A3";1;"UP";;;
5;"SW1";"SW_SPST_CK_RS282G05A3";1;"X";;;
6;"SW12";"SW_SPST_CK_RS282G05A3";1;"RIGHT";;;
7;"SW16";"SW_SPST_CK_RS282G05A3";1;"L";;;
8;"SW13";"SW_SPST_CK_RS282G05A3";1;"MINUS";;;
9;"SW2";"SW_SPST_CK_RS282G05A3";1;"A";;;
10;"SW14";"SW_SPST_CK_RS282G05A3";1;"SELECT";;;
11;"SW10";"SW_SPST_CK_RS282G05A3";1;"LEFT";;;
12;"SW4";"SW_SPST_CK_RS282G05A3";1;"Y";;;
13;"SW11";"SW_SPST_CK_RS282G05A3";1;"DOWN";;;
14;"SW15";"SW_SPST_CK_RS282G05A3";1;"R";;;
15;"SW3";"SW_SPST_CK_RS282G05A3";1;"B";;;
16;"SW6";"SW_SPST_CK_RS282G05A3";1;"HOME";;;
17;"R1,R2,R3,R4";"R_0805_2012Metric";4;"1M";;;
18;"D1,D2,D6,D5,D8,D7,D3,D4";"D_SOD-123";8;"MBR0520LT1G";;;
19;"J1";"PinSocket_1x04_P2.54mm_Vertical";1;"OLED";;;
20;"R7,R6,R5,R8";"R_0805_2012Metric";4;"1K";;;
21;"J2";"IDC-Header_2x04_P2.54mm_Horizontal";1;"Piezo_Connector";;;
